Sample ID	Treatment
WT-0-1-1	Sensitive
WT-0-1-2	Sensitive
WT-0-1-3	Sensitive
WT-0-17-1	Resistance
WT-0-17-2	Resistance
WT-0-17-3	Resistance
WT-0-19-1	Resistance
WT-0-19-2	Resistance
WT-0-19-3	Resistance
WT-0-2-1	Sensitive
WT-0-2-2	Sensitive
WT-0-2-3	Sensitive
WT-0-21-2	Sensitive
WT-0-21-3	Sensitive
WT-0-26-1	Resistance
WT-0-26-2	Resistance
WT-0-26-3	Resistance
WT-0-27-2	Resistance
WT-0-3-1	Sensitive
WT-0-3-3	Sensitive
WT-0-31-1	Resistance
WT-0-31-2	Resistance
WT-0-31-3	Resistance
WT-0-33-1	Resistance
WT-0-33-2	Resistance
WT-0-33-3	Resistance
WT-0-5-1	Sensitive
WT-0-5-2	Sensitive
WT-0-5-3	Sensitive
WT-0-6-1	Sensitive
WT-0-6-2	Sensitive
WT-0-6-3	Sensitive
